,Date ,Time In ,Time Out ,Details ,id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
4,15/0 ,1:40,1:55,to bights lpa ,MON2_SI_01_table_Page_129,,,,,
5,78/12 ,2:34,2:45,runight ,MON2_SI_01_table_Page_129,,,,,
6,10/15/12,11:43,11:54,Adult ,MON2_SI_01_table_Page_129,,,,,
7,10/18/16,12:39,12:59,RE ,MON2_SI_01_table_Page_129,,,,,
8,,1:38,1:00,Physically hit ZX,MON2_SI_01_table_Page_129,,,,,
9,10/19/14,8:35,8:46,,MON2_SI_01_table_Page_129,,,,,
10,10/19/06,10:13,10:40,Aliff ,MON2_SI_01_table_Page_129,,,,,
11,10/19/16,12:53,,,MON2_SI_01_table_Page_129,,,,,
12,,$:34 ,8:50,,MON2_SI_01_table_Page_129,,,,,
13,17/30 ,9:37,,,MON2_SI_01_table_Page_129,,,,,
14,Oct-00,10:28,,,MON2_SI_01_table_Page_129,,,,,
15,20-Oct,12:04, ,,MON2_SI_01_table_Page_129,,,,,
16,20-Oct,12:19,,,MON2_SI_01_table_Page_129,,,,,
0,19-Jan,2:30,2:43,Kicking staff ,MON2_SI_01_table_Page_139,,,,,
1,19-Jan,10:35,10:48,,MON2_SI_01_table_Page_139,,,,,
2,20-Jan,1:53,2:15,,MON2_SI_01_table_Page_139,,,,,
3,24-Jan,10:43,10:56,,MON2_SI_01_table_Page_139,,,,,
4,24-Jan,11:40,12:00,hithing. backing staff ,MON2_SI_01_table_Page_139,,,,,
5,24-Jan,12:50,1:20,yelling hittory ,MON2_SI_01_table_Page_139,,,,,
6,25-Jan,12:29,12:56,walking out at lunch ,MON2_SI_01_table_Page_139,,,,,
7,27-Jan,8.4,8:56,,MON2_SI_01_table_Page_139,,,,,
8,1/27/17,9:05,9:20,rult ,MON2_SI_01_table_Page_139,,,,,
9,1/27/19,9.47,10:10,throwing chairs ,MON2_SI_01_table_Page_139,,,,,
10,1/27/10,12:38,12:56,that starr ! Kinnd state ,MON2_SI_01_table_Page_139,,,,,
11,1/27/19,2:00,2:20,,MON2_SI_01_table_Page_139,,,,,
12,1/21/17,9:27,9:39,,MON2_SI_01_table_Page_139,,,,,
13,30-Jan,11:26,11:51,,MON2_SI_01_table_Page_139,,,,,
14,30-Jan,12:34,12:41,crowling Tasles,MON2_SI_01_table_Page_139,,,,,
0,Q/A ,201,2:15p ,,MON2_SI_01_table_Page_140,,,,,
1,20-Dec,19.25c ,9:35a ,,MON2_SI_01_table_Page_140,,,,,
2,20-Dec,10:llam ,10:25,against system,MON2_SI_01_table_Page_140, Taking ,,,,
3,127/20 ,1:45pm ,1:50pm ,kicking ,MON2_SI_01_table_Page_140,,,,,
4,20-Dec,2:10pm ,,all nair hitting wishing ,MON2_SI_01_table_Page_140,,,,,
5,W120 ,1:00,1.2,unsaie behavior ,MON2_SI_01_table_Page_140,,,,,
6,171-5 ,USD ,7.1,Lust Staff ,MON2_SI_01_table_Page_140,,,,,
7,21-Dec,10,10.2,Ran to y common ,MON2_SI_01_table_Page_140,,,,,
8,2-Dec,10:50,,Threarned 5thff ,MON2_SI_01_table_Page_140,,,,,
9,21-Dec,11:34,11:48,stylf ,MON2_SI_01_table_Page_140,,,,,
10,Oct-91,11:56,12 14 ,,MON2_SI_01_table_Page_140,,,,,
11,21-Dec,1:32,138,,MON2_SI_01_table_Page_140,,,,,
12,12/f1 ,1:52,2:08,Adult ,MON2_SI_01_table_Page_140,,,,,
13,22-Dec,850,9:05,,MON2_SI_01_table_Page_140,,,,,
14,23-Dec,10:00,10:12,,MON2_SI_01_table_Page_140,,,,,
15,23-Dec,10:40,11:00,,MON2_SI_01_table_Page_140,,,,,
16,23-Dec,11:10,11:20,,MON2_SI_01_table_Page_140,,,,,
0,15-Mar,9:01Am ,9:22 AM,out of buildreg ,MON2_SI_01_table_Page_150,,,,,
1,5115,11:45,11:51,Throwing Chairs runing ,MON2_SI_01_table_Page_150,,,,,
2,15-May,4.32,12:44,Adult ,MON2_SI_01_table_Page_150,,,,,
3,15-May,1:50p ,2:10,,MON2_SI_01_table_Page_150,,,,,
4,5-May,2:28,2:35,,MON2_SI_01_table_Page_150,,,,,
5,15-May,2:35,245,,MON2_SI_01_table_Page_150,,,,,
6,16-May,8:34,85,Hitting Staff Kicking ,MON2_SI_01_table_Page_150,,,,,
7,16-May,6053,11:03,hitting staff ,MON2_SI_01_table_Page_150,,,,,
8,16-May,12:52,1:10,Aduth ,MON2_SI_01_table_Page_150,,,,,
9,16-May,2:48,250,,MON2_SI_01_table_Page_150,,,,,
10,5117,11.33,1150,,MON2_SI_01_table_Page_150,,,,,
11,17-May,3:12,3:18,,MON2_SI_01_table_Page_150,,,,,
12,,2:58,3:04,Adult ,MON2_SI_01_table_Page_150,,,,,
13,,11:36,11:59,,MON2_SI_01_table_Page_150,,,,,
14,575,1.27,23,,MON2_SI_01_table_Page_150,,,,,
15,19-May,12:00,1214,Adult ,MON2_SI_01_table_Page_150,,,,,
0,15-Nov,8:35,8:40,,MON2_SI_01_table_Page_132,,,,,
1,15-Nov,8:45,8.55,It ,MON2_SI_01_table_Page_132,,,,,
2,15-Nov,11:11,11:20, ,MON2_SI_01_table_Page_132,,,,,
3,15-Nov,9.05,9:30,,MON2_SI_01_table_Page_132,,,,,
4,15-Jan,10:10,10:28,,MON2_SI_01_table_Page_132,,,,,
5,15-Jan,12:35,1:00pm ,,MON2_SI_01_table_Page_132,,,,,
6,16-Nov,845,800,,MON2_SI_01_table_Page_132,,,,,
7,16-Nov,855,9'5 ,F ,MON2_SI_01_table_Page_132,,,,,
8,16-Nov,9:30,qu ,,MON2_SI_01_table_Page_132,,,,,
9,16-Nov,9:59,10:20,,MON2_SI_01_table_Page_132,,,,,
10,16-Nov,11:15,11:45,,MON2_SI_01_table_Page_132,,,,,
11,16-Nov,1:43,2:05,,MON2_SI_01_table_Page_132,,,,,
12,17-Nov,,9:10am ,,MON2_SI_01_table_Page_132,,,,,
13,17-Nov,11.006m ,11:20,,MON2_SI_01_table_Page_132,,,,,
14,17-Nov,12:20,12:27,,MON2_SI_01_table_Page_132,,,,,
15,18-Nov,,8:58am ,,MON2_SI_01_table_Page_132,,,,,
16,18-Nov,9:24am ,9:38am ,,MON2_SI_01_table_Page_132,,,,,
0,28-Apr,10:11,10:40,,MON2_SI_01_table_Page_149,,,,,
1,28-Apr,11:05,11:09,,MON2_SI_01_table_Page_149,,,,,
2,1-May,9:23,9.31,,MON2_SI_01_table_Page_149,,,,,
